=== QASS FLOW REPORT ===
REPO: C:\Users\carst\Projekte\Einfach-Geld-Ordnen\GitHub_Clone_Dateien\einfach-geld-ordnen
TIME: 2026-01-27T16:28:31

FILES_SCANNED: 48
PERMALINKS_KNOWN(seiten/pillar): 29
EDGES_FOUND(internal seiten/pillar links): 174

--- FRAGILE (indeg=0 among known permalinks) ---


--- TOP OUTDEG (most linking pages, by permalink) ---

perm                                           outdeg indeg
----                                           ------ -----
/pillar/                                           22    29
/seiten/index.html                                 13     2
/seiten/haushaltsbuch.html                         12     6
/pillar/einfach-geld-ordnen-haushaltsbuch.html      8     4
/seiten/der-weg.html                                8     3
/seiten/monatliche-ausgaben.html                    7     9
/seiten/ordnung-halten.html                         7     1
/seiten/haushaltsbuch-excel.html                    6     4
/seiten/haushaltsbuch-vollversion.html              6     1
/pillar/einfach-geld-ordnen.html                    5     4
/seiten/qualitaet.html                              5     3
/seiten/fixkosten-uebersicht.html                   5     7
/seiten/nebenkosten-miete.html                      4     4
/seiten/variable-ausgaben.html                      4     1
/pillar/spielraum-ruecklagen.html                   4     5
/pillar/haushaltsueberblick.html                    4     4
/seiten/impressum.html                              3     2
/seiten/faq_probleme_loesen.html                    3     3
/seiten/datenschutz.html                            3     2
/seiten/nach_dem_kauf.html                          3     3
/seiten/governance.html                             3     3
/pillar/ordnung-halten.html                         3     2
/seiten/premium.html                                3     3
/seiten/stromkosten-haushalt.html                   3     5
/seiten/haushaltsbuch-vorlage-kostenlos.html        3    31




SAVED: C:\Users\carst\Projekte\Einfach-Geld-Ordnen\GitHub_Clone_Dateien\einfach-geld-ordnen\qass_v2_flow_report_2026-01-27_16-28-30.txt
