url,official_name,kind
"https://gluecklich-tools.github.io/einfach-geld-ordnen/","Startseite","hub"
"https://gluecklich-tools.github.io/einfach-geld-ordnen/seiten/start_in_15_minuten.html","Schnellstart (15 Minuten)","entry"
"https://gluecklich-tools.github.io/einfach-geld-ordnen/seiten/rechner-uebersicht.html","Rechner","hub"
"https://gluecklich-tools.github.io/einfach-geld-ordnen/seiten/downloads.html","Downloads","hub"
"https://gluecklich-tools.github.io/einfach-geld-ordnen/pillar/einfach-geld-ordnen.html","Ueberblick","pillar"
"https://gluecklich-tools.github.io/einfach-geld-ordnen/pillar/schuldenfrei.html","Schuldenfrei","pillar"
"https://gluecklich-tools.github.io/einfach-geld-ordnen/pillar/fixkosten-senken.html","Fixkosten senken","pillar"
"https://gluecklich-tools.github.io/einfach-geld-ordnen/pillar/notgroschen.html","Notgroschen","pillar"
"https://gluecklich-tools.github.io/einfach-geld-ordnen/seiten/freebie.html","Freebie","offer"
"https://gluecklich-tools.github.io/einfach-geld-ordnen/seiten/vollversion.html","Vollversion","offer"
"https://gluecklich-tools.github.io/einfach-geld-ordnen/seiten/premium.html","Premium","offer"
